Gene,t-statistic,p-value,adjusted_p-value
1007_s_at,-6.2592852349752865,1.566756757273283e-08,2.090541366606022e-06
1053_at,1.8122961495057692,0.0735137870823622,0.28469025331183123
117_at,2.979570046504265,0.0037867064798152834,0.04885442405318455
121_at,1.1047632176710809,0.2724167481017252,0.5563505176492202
1255_g_at,0.20709225676419285,0.8364438537058125,0.9282434349005335
1294_at,-0.19868943944612483,0.8430038088035843,0.9310565044489997
1316_at,1.0806491867201988,0.2829460978701237,0.5656129809670734
1320_at,2.7589096531265667,0.007132894403336164,0.07304332995842819
1405_i_at,-1.0821393586640047,0.28264232732000516,0.5655130627342799
1431_at,-0.846471016383942,0.39969781489470935,0.6624370702341992
1438_at,2.3549579854758567,0.02085720866510638,0.1415230417320174
1487_at,0.5954838511759054,0.5531219106149243,0.7751220385027582
1494_f_at,0.7107444776754065,0.4792116710210066,0.7236640604263356
1598_g_at,2.8504757711966904,0.0056392807277052355,0.06261689444183395
160020_at,1.1005546334786112,0.27431265667275745,0.5582531486270789
1729_at,-0.9050139564638521,0.36804646454117185,0.6378237554286091
1773_at,0.7680689221841593,0.4446213323965005,0.6990895533298913
177_at,0.7354755125972783,0.46410046641234526,0.7137264272401982
179_at,2.444711419281996,0.016587475338688255,0.12420082213897608
1861_at,0.990247829639736,0.32496617081842283,0.6026315899090309
200000_s_at,0.9815544962996945,0.32918251227309603,0.6062628251079757
200001_at,0.41775762886742235,0.6772301471592475,0.8464731814926326
200002_at,0.006900307853477336,0.9945115114713288,0.9981821270657988
200003_s_at,-2.1362451235043847,0.0356937740736654,0.1928251424686355
200004_at,-1.1798604395778562,0.2416086608349197,0.5238058564359782
200005_at,-1.1033017745354734,0.2732095684275981,0.5569416168028697
200006_at,0.8352747501425208,0.40594665142308284,0.6665961115446246
200007_at,-0.7122307528227015,0.4783019658167187,0.7227724606194182
200008_s_at,0.6664025593809347,0.5070098753912493,0.7439758679526788
200009_at,-1.3000410507215903,0.19716383230080348,0.47225644148756357
200010_at,-0.5592254822238537,0.5774973190709436,0.7900355595764447
200011_s_at,-0.28220478744002747,0.7785007614309403,0.90084611841267
200012_x_at,0.7054415301011706,0.4825467202660435,0.7260847165702106
200013_at,-1.557995933812615,0.12303114842530657,0.3740113342921018
200014_s_at,-1.2806478425853696,0.20387182788865288,0.4803717818380937
200015_s_at,1.043086719655869,0.300067365659756,0.5800642933110387
200016_x_at,-2.5610930916642722,0.012558263037884805,0.10410557115817973
200017_at,-0.8122566568914394,0.41895012641467144,0.6771940705890571
200018_at,0.8966708189248213,0.37246739333434276,0.6413484990085124
200019_s_at,0.12931721465393725,0.8974169762532898,0.9565264747848491
200020_at,-2.1942888997630074,0.03098057861065425,0.17782558118752953
200021_at,-0.521531660617256,0.6033777050702185,0.8063974930774114
200022_at,-0.5912984505342179,0.5559285217721937,0.7760560497508477
200023_s_at,1.0517063614069873,0.2960469374309476,0.5772889016438528
200024_at,-0.25812000087121384,0.7969669411364291,0.9101569605150315
200025_s_at,-0.00669318544626667,0.994676985765049,0.9981821270657988
200026_at,0.007477700996029211,0.9940515801539125,0.9979548744273298
200027_at,-1.8685724835465405,0.06538219270091752,0.26639447795841015
200028_s_at,-1.0986163791172052,0.27549679664546967,0.5594545812130685
200029_at,-1.6967327245580541,0.09378485760034166,0.32354491386241774
200030_s_at,1.6706623572843562,0.0986429461800662,0.33208719137013853
200031_s_at,0.4223233035834032,0.6739468355516884,0.844584004477445
200032_s_at,-0.4703732972926495,0.63940701068252,0.82536811108339
200033_at,-1.313639177573894,0.1927056190795642,0.46705733896704144
200034_s_at,-0.4950006440683821,0.6218964864027041,0.8166491488308949
200035_at,2.165164012372062,0.03325368538910605,0.18497051211319276
200036_s_at,-1.0450527950582869,0.299045804500041,0.5793168762747196
200037_s_at,-3.203072915578739,0.0019346305353846259,0.03057402285104654
200038_s_at,-1.054620910289962,0.2946434484398046,0.5763138049472533
200039_s_at,1.3922013413752738,0.1675390630504998,0.4368956046757504
200040_at,-0.7218885809587656,0.47238073041548745,0.7192173101723106
200041_s_at,-1.4365273969229566,0.15460642230426452,0.42057482716349914
200042_at,0.4105362187217181,0.6824593512957613,0.8499464411426028
200043_at,-1.7907714160917365,0.07704721963157644,0.29192862782708573
200044_at,-1.5536142703409483,0.12406999116010818,0.3760876124827123
200045_at,1.1601995804424996,0.24927038498241133,0.5325495674557116
200046_at,0.13416947335615337,0.8936017939759779,0.9546062851775555
200047_s_at,-1.5444668467294744,0.12651379174230817,0.37993666012626076
200048_s_at,-1.7112824076421296,0.09080014561436787,0.3182289469526517
200049_at,0.6844874280374476,0.4955603496388945,0.7351911631826555
200050_at,-2.100398566673067,0.038765692103053806,0.20192290888811654
200051_at,1.902206395524082,0.06057231126118034,0.2556400125252494
200052_s_at,-1.5690517109261728,0.12079468977764939,0.37034508424812346
200053_at,2.065607598697568,0.0421037128231139,0.2104524524085794
200054_at,0.8171523167247653,0.41615552407602163,0.6751997628502978
200055_at,2.2422002188161576,0.027653303477979202,0.16654015172967854
200056_s_at,0.6546436229097448,0.5145352852864049,0.7484939325295514
200057_s_at,-1.4576958340862654,0.14871150937983504,0.41306641813567385
200058_s_at,-2.4100304407642485,0.018165833357228524,0.13056645076115775
200059_s_at,1.1472405071283134,0.25455712592466184,0.5380664425136824
200060_s_at,-2.1998691640578705,0.030583258015733514,0.1766424930960575
200061_s_at,0.46580531312898166,0.64256384451205,0.8271186036197798
200062_s_at,-0.2831335973513961,0.7777712568324364,0.9005471485534019
200063_s_at,-2.2620781176222784,0.02648706467556552,0.16183473050880903
200064_at,-1.2770805852392284,0.20509358231832428,0.48182396360561097
200065_s_at,-2.1249162403909363,0.03654251041666057,0.1952233899818862
200066_at,0.3273959144563,0.7441906869666648,0.8847935693991138
200067_x_at,2.653191428237917,0.009533786543353566,0.08778568824196178
200068_s_at,-2.348569700480366,0.02119509593109454,0.14276056875729926
200069_at,-1.385502451882664,0.1696303371984178,0.43998053821351923
200070_at,0.6770499510501621,0.5002975987864684,0.7386781999575189
200071_at,-0.918715225383256,0.3609491313537042,0.6324628052177864
200072_s_at,-0.2903084494330673,0.7722979227855358,0.8979449315643149
200073_s_at,-0.7790670528452369,0.4384835186463345,0.6942183236284679
200074_s_at,-1.1934607916947284,0.23608109995513882,0.5180850569173295
200075_s_at,-0.39071792080297585,0.6970081679609696,0.8570012142953312
200076_s_at,0.527019050219532,0.5996183399508399,0.8044127314343507
200077_s_at,0.5173734400956858,0.6062882506036074,0.808413408688808
200078_s_at,-2.4732454010429437,0.01542248006084269,0.11862586233888771
200079_s_at,0.8012598179902496,0.42524212007051165,0.6824884875778746
200080_s_at,-2.449783097758579,0.01655700198434864,0.12417717298809566
200081_s_at,-1.2688898279006844,0.20802315800344742,0.4850853852991588
200082_s_at,-0.42482747859672554,0.6720559363959393,0.8437333050149707
200083_at,-0.900745538923678,0.37029894614381553,0.6397151204407069
200084_at,-0.7423469624756409,0.45995701686535884,0.710478930320562
200085_s_at,0.40788657349354623,0.6843948531132344,0.8511201312603083
200086_s_at,0.7710202445758978,0.4430288803647704,0.6977180395199787
200087_s_at,-2.7325669359168487,0.007698506508179322,0.07668548725090163
200088_x_at,-0.7022243703085446,0.48448128372216925,0.7276492467830381
200089_s_at,-0.1005256718262178,0.9201833479236037,0.9669197827123988
200090_at,0.8268378380053728,0.4107609385694081,0.6706466877302257
200091_s_at,0.049928406195543854,0.9603135504740405,0.9834498984914836
200092_s_at,-1.0777898838576843,0.28430404392759984,0.5665712753394595
200093_s_at,-1.9274076957327868,0.05732095608946834,0.24881353287484598
200094_s_at,2.0986631191450167,0.03921673521990427,0.20324788276164593
200095_x_at,-1.5451157910110143,0.1261791715012298,0.37956792173132325
200096_s_at,-0.42955386024854775,0.6686265724656529,0.8415615631638129
200097_s_at,-1.379185149155535,0.17163506721500843,0.4420416323106834
200098_s_at,-1.737750344518945,0.08593003272810774,0.30853672563332657
200099_s_at,-1.5598199895727445,0.12262477577678457,0.37311199576730314
200593_s_at,-0.4624644880232268,0.6450384476589714,0.8286155562438285
200594_x_at,-1.4690210098539946,0.14570401989405962,0.4087012431142158
200595_s_at,0.5993935159827313,0.5505990921492765,0.7732887665676497
200596_s_at,0.12710447483856488,0.8991631783926497,0.957479019451162
200597_at,-0.22672787751897341,0.8212121945130187,0.9213569976503497
200598_s_at,-0.019317344790838895,0.9846338903018954,0.9942122445885729
200599_s_at,-1.8382472606733882,0.06966539743169951,0.2761704413752998
200600_at,2.300431943066211,0.02390568082973975,0.1525170401634727
200601_at,-1.9617148022198148,0.053110525134557794,0.23908319829764674
200602_at,-3.792330629786133,0.00028032241783749616,0.0074390157182247455
200603_at,-0.47371362872189093,0.6370467524413581,0.8246552706367235
200604_s_at,-0.7646193306763046,0.446650217035094,0.7006426266848672
200605_s_at,1.0667942477741863,0.28919402897532875,0.5706858329508814
200606_at,-7.234867535261546,3.585801384501146e-10,8.153307372534595e-08
200607_s_at,0.23287780412018919,0.8164660301807489,0.9189130863372037
200608_s_at,-3.9935649362790557,0.00013899387185887052,0.0042720006160430505
200609_s_at,-1.1085507402846835,0.2709683021297342,0.5549324336347775
200610_s_at,-0.5393788094782861,0.5910555289016484,0.799049891929838
200611_s_at,-0.9552645970347903,0.34224583698182276,0.6177613596975258
200612_s_at,0.9759646154902166,0.3319470099289372,0.6086378031964542
200613_at,-0.5937812363633315,0.554254120173889,0.775819928033771
200614_at,-0.5257760794862223,0.600430557676501,0.8048203914625676
200615_s_at,0.5236143195245417,0.6019405133540794,0.8057356095487589
200616_s_at,1.8793640955569173,0.06366849601282464,0.2620958981440553
200617_at,1.685280944098815,0.09570639875134067,0.32678395871013477
200618_at,0.3192094492415203,0.7504113341885468,0.8874543976076525
200619_at,1.399554840728236,0.16542126584295141,0.43411636636185214
200620_at,-0.2536257772310598,0.800406744440975,0.9118088724188675
200621_at,0.4021433580561238,0.6886544029549959,0.8536540977440016
200622_x_at,0.2826865896552365,0.7781304492482981,0.9008250623753027
200623_s_at,1.4403905711716756,0.15351397435099182,0.41895307905243734
200624_s_at,-1.2285241970307685,0.22282598691171315,0.5037775432582898
