Gene,t-statistic,p-value,adjusted_p-value
205478_at,10.842349979155276,5.616441835768879e-17,8.929665520357884e-13
219140_s_at,10.494501281248985,8.014778548990605e-17,8.929665520357884e-13
222317_at,10.164369002181324,1.1390540880321982e-15,6.345385560905368e-12
210964_s_at,9.82402742425839,5.138525717731971e-15,1.2722418729802388e-11
221009_s_at,9.769779043148208,2.9794786830138213e-15,9.484531927656709e-12
219295_s_at,9.584066441479743,5.05097803158869e-15,1.2722418729802388e-11
205220_at,9.499667915879808,8.26376016035835e-15,1.8414136765326512e-11
43427_at,9.340653215211846,4.1565137902567504e-14,6.61568548487794e-11
205610_at,9.193254705845945,4.01826006024976e-14,6.61568548487794e-11
212741_at,9.157465312587822,2.9645863744583366e-14,6.005443471095918e-11
